ticker,base,quote
EURJPY Curncy,EUR,JPY
EURCHF Curncy,EUR,CHF
EURGBP Curncy,EUR,GBP
AUDUSD Curncy,AUD,USD
USDCAD Curncy,USD,CAD
GBPJPY Curncy,GBP,JPY
CHFJPY Curncy,CHF,JPY
NZDUSD Curncy,NZD,USD
EURAUD Curncy,EUR,AUD
GBPCHF Curncy,GBP,CHF
GBPCAD Curncy,GBP,CAD
NZDCAD Curncy,NZD,CAD
PLJ6 Comdty,,6 C
USDSEK Curncy,USD,SEK
AUDJPY Curncy,AUD,JPY
EURCAD Curncy,EUR,CAD
USDCZK Curncy,USD,CZK
EURCZK Curncy,EUR,CZK
AUDNZD Curncy,AUD,NZD
GBPPLN Curncy,GBP,PLN
CHFPLN Curncy,CHF,PLN
EURSEK Curncy,EUR,SEK
USDNOK Curncy,USD,NOK
EURNOK Curncy,EUR,NOK
GBPAUD Curncy,GBP,AUD
GBPNZD Curncy,GBP,NZD
USDZAR Curncy,USD,ZAR
USDMXN Curncy,USD,MXN
AUDCHF Curncy,AUD,CHF
CADJPY Curncy,CAD,JPY
CADCHF Curncy,CAD,CHF
EURNZD Curncy,EUR,NZD
AUDCAD Curncy,AUD,CAD
EURHUF Curncy,EUR,HUF
USDHUF Curncy,USD,HUF
USDRON Curncy,USD,RON
EURRON Curncy,EUR,RON
C K6 Comdty,USD,
S K6 Comdty,USD,
W K6 Comdty,USD,
NGK6 Comdty,USD,
LMCADS03 Comdty,USD,
LMAHDS03 Comdty,USD,
LMZSDS03 Comdty,USD,
LMNIDS03 Comdty,USD,
CCK6 Comdty,USD,
KCK6 Comdty,USD,
USDTRY Curncy,USD,TRY
EURTRY Curncy,EUR,TRY
NZDJPY Curncy,NZD,JPY
CHFHUF Curncy,CHF,HUF
USDCLP Curncy,USD,CLP
XAUUSD Curncy,,USD
XAGUSD Curncy,,USD
COM6 Comdty,USD,
CTK6 Comdty,USD,
SBK6 Comdty,USD,
CLK6 Comdty,USD,
USDBRL Curncy,USD,BRL
USDILS Curncy,USD,ILS
